,Actual,forcasted
5,776.590027,771.9643853374225
494,1056.52002,1057.2312230039772
52,729.119995,721.525932223283
986,1309.0,1313.787913380807
186,808.02002,806.7886509142393
18,759.330017,761.5834004683508
317,868.3900150000001,864.7307480559168
511,1079.780029,1076.2793060818149
364,964.070007,963.1750888304413
571,1100.069946,1096.4745243601653
609,1103.380005,1104.8233002649029
703,1193.890015,1186.6356332721675
924,1196.72998,1199.0708698411092
461,992.3099980000001,996.8431767058737
742,1027.420044,1036.4144657634015
957,1221.140015,1220.3666075258006
923,1174.5,1175.8322330780293
1160,1555.920044,1561.0636215011366
85,771.909973,770.80947808955
1250,1764.130005,1753.6999627295443
927,1179.209961,1176.9935232944895
124,742.929993,740.6511275085204
709,1211.530029,1205.8358736375858
492,1050.300049,1047.93666853335
1159,1563.839966,1550.2267710412636
211,809.570007,813.9971877389644
907,1131.550049,1137.3015376745282
1052,1518.72998,1511.2229428728162
453,959.900024,960.9437537928425
811,1153.420044,1150.9885390215843
161,800.9400019999999,802.7503798012511
813,1164.939941,1167.2643238564108
1105,1317.319946,1335.1799520602035
45,717.6400150000001,716.0396167652623
901,1144.079956,1146.7040013944675
625,1151.02002,1154.085529346204
818,1199.060059,1200.309147812869
634,1183.579956,1177.4322040124312
481,1042.680054,1046.6130504748226
308,849.849976,850.9573357396104
269,807.77002,808.7404598645638
733,1069.569946,1074.6403220867362
1018,1362.469971,1358.968562184355
1193,1581.209961,1576.0196763276515
877,1047.76001,1041.1001192128876
1,760.039978,759.5122090594336
798,1127.579956,1128.9306252388044
814,1150.849976,1148.4850923937831
141,710.25,710.7584270934768
757,1073.72998,1085.278205496701
955,1242.290039,1235.91308022302
240,784.799988,784.1080352486005
1148,1469.930054,1480.5805360502657
55,742.169983,736.9480861187468
642,1126.780029,1125.4978717680763
333,845.099976,848.929398820934
725,1103.589966,1107.3290975230148
1117,1374.400024,1381.528729052277
39,703.76001,706.4906705081871
152,753.409973,754.8280226284204
302,851.3599849999999,852.1273378925804
792,1141.420044,1136.2299596213923
1080,1162.920044,1144.5666659356477
443,950.4400019999999,951.1745061106878
402,975.9600220000001,977.894732099373
902,1145.339966,1143.112949340373
966,1215.709961,1219.6656383588079
578,1005.179993,1006.9748196370228
1044,1445.410034,1438.6753247245529
1090,1206.569946,1201.010523312519
156,757.52002,757.2438457679056
184,791.400024,788.8166119204417
858,1167.969971,1165.7737199878022
14,790.299988,791.2672140477546
142,704.8900150000001,703.6930315493422
711,1167.829956,1164.2418886053601
651,1201.26001,1195.633028803822
416,945.7899779999999,943.8531496628879
418,944.1900019999999,949.7513170245958
998,1313.0,1308.199997376239
254,807.900024,810.2641736083624
320,867.909973,866.634572097002
299,842.169983,841.4115976990612
981,1272.25,1266.5249410892022
689,1199.099976,1187.5855625981983
471,985.5399779999999,988.9186138784648
420,923.590027,925.6759230692339
539,1182.219971,1176.4190099019734
995,1300.140015,1302.1288104128228
436,951.98999,952.8428629347552
1209,1466.02002,1462.0416750779996
771,1025.469971,1042.2094479919037
963,1190.130005,1198.1918568874694
893,1082.800049,1078.8863065637684
1055,1516.98999,1513.4984217975152
1109,1369.280029,1366.1435512603482
192,790.460022,795.2824605151816
616,1075.310059,1078.1080272028385
349,932.820007,931.1423229186303
231,811.97998,812.1945482019139
487,1041.640015,1035.1713891271252
1124,1433.52002,1429.592206239026
769,1044.959961,1043.2859435684986
202,810.0599980000001,808.5282240316075
535,1182.140015,1177.0655438425194
674,1258.140015,1248.9078233255598
613,1081.26001,1085.426164059855
759,1051.709961,1061.4881152642004
406,993.840027,990.3541310082887
75,768.340027,775.5158030626095
574,1053.150024,1059.51452521418
482,1052.390015,1047.5781526838284
977,1288.97998,1291.9998765343164
687,1231.800049,1231.7204926684121
483,1058.290039,1058.2638376511627
108,730.299988,728.6871119059847
1255,1821.839966,1835.6411936909906
808,1122.890015,1119.5159626500295
303,851.0,846.104298956673
853,1166.51001,1166.7787933212048
92,737.77002,740.5275372445213
528,1130.699951,1136.705496605022
970,1252.800049,1260.0713100118169
194,797.969971,794.9416210223103
1057,1419.859985,1420.6546722413048
427,920.8699949999999,922.5057676917888
342,860.080017,861.7894255707632
990,1309.150024,1310.8728474488075
8,760.799988,759.3930265485197
641,1116.939941,1129.625397060293
1199,1535.119995,1541.846295942908
1079,1101.619995,1110.2453931694556
328,849.4799800000001,848.387975127296
898,1116.790039,1115.9459571443188
1061,1339.25,1325.7369498124733
523,1114.209961,1116.7580344101063
1253,1795.359985,1808.5304328322056
381,960.179993,952.5583995866452
920,1175.910034,1170.7009425957738
773,1075.920044,1068.003008684274
597,1022.98999,1024.758394442866
926,1169.319946,1170.5421172043887
445,935.2899779999999,934.5916791290225
198,815.950012,816.0400838747548
464,1005.650024,1008.0405153755627
1215,1459.140015,1446.6608798856635
283,858.4500119999999,855.1583193047794
1068,1275.170044,1241.5820731024141
501,1019.599976,1025.8625368858402
513,1070.849976,1072.079604182539
1230,1510.800049,1520.5074604357344
968,1242.23999,1242.0876661420975
390,961.01001,949.9029463768667
748,1091.790039,1075.9832712893874
1121,1421.369995,1426.2877274832904
753,1078.079956,1071.622574971976
458,966.7800289999999,969.3796045018328
678,1221.949951,1215.5858089985184
393,919.4600220000001,920.5531687428247
1194,1523.599976,1542.6786266402626
840,1222.72998,1219.5386506165457
717,1102.439941,1105.9548425499431
581,1018.679993,1008.8719778079284
1050,1518.630005,1512.8181867593669
993,1312.589966,1314.7098068091025
567,1139.910034,1148.4093462898604
796,1102.380005,1102.7446318972407
1237,1759.72998,1753.041791146863
958,1206.0,1218.0036860274681
887,1113.199951,1111.1856639547402
386,976.6199949999999,977.265075283686
580,1012.6300050000001,1011.876163911578
861,1124.859985,1129.7014160272015
1034,1482.25,1479.9747352521442
549,1072.699951,1068.289896352897
466,1009.349976,1005.4705281108742
295,834.849976,834.8337073035678
34,761.349976,758.5443670306439
1178,1504.630005,1506.6960500508203
848,1267.339966,1262.3547971783723
1046,1475.969971,1474.5201784498786
565,1160.839966,1153.0351835038684
412,945.5,946.9259677093726
247,764.330017,759.5436039069273
397,951.0,951.3130770030937
688,1211.310059,1214.1834110547613
233,780.289978,777.4318711230899
722,1111.369995,1110.5115825016962
953,1218.329956,1223.245191408101
795,1105.910034,1097.7076125896738
644,1142.109985,1131.8807670457586
1100,1276.599976,1265.0882805420538
310,847.2700199999999,844.6324560914502
1189,1629.530029,1629.1207034548593
638,1169.290039,1164.9126302643197
49,729.049988,729.7238329382845
744,1043.430054,1048.5605653112332
1183,1575.569946,1580.1163929994361
1072,1073.0,1118.4909226252564
1101,1270.859985,1272.5209072788582
587,1025.060059,1025.330706529179
465,1007.8699949999999,1012.1502172300179
359,959.2199710000001,959.6281942476216
358,955.1400150000001,953.5800625179825
224,819.5599980000001,827.0211195349649
856,1178.859985,1177.098995795993
1030,1430.589966,1431.9342912500476
44,706.8900150000001,707.573714011194
913,1241.839966,1237.812521113257
1028,1428.959961,1425.5915003567573
1150,1489.920044,1511.088589341142
1037,1466.170044,1470.539154171265
268,808.01001,807.0264415432658
618,1085.449951,1075.9245361389678
434,943.6300050000001,943.1262953059513
204,804.0599980000001,805.9563327520763
1221,1555.469971,1563.2903812578777
58,730.219971,728.1093591702912
1232,1616.109985,1627.06269520638
432,928.1300050000001,930.1556402040505
27,718.5599980000001,709.6638997872722
790,1125.890015,1119.4072684731107
1115,1373.060059,1362.4187996603373
533,1176.170044,1173.9751280920357
726,1083.75,1100.2198693581308
251,791.469971,785.4166834079988
878,1068.369995,1067.5405206109936
1047,1479.109985,1479.773746021756
621,1077.469971,1072.5817512668077
793,1151.869995,1143.2177167094374
361,942.169983,945.6285288236222
842,1231.910034,1230.7293983583327
1252,1754.4000239999998,1756.852469712084
875,1054.48999,1049.0756443537887
431,930.5,933.6993769506838
996,1293.670044,1295.2384799040697
1249,1763.9000239999998,1753.655517866524
999,1312.130005,1312.1016685879501
70,760.049988,764.0115007097977
452,937.429993,941.5965267599869
530,1135.969971,1128.7750809590764
10,768.51001,762.2401302543147
768,1046.680054,1049.9917980035812
140,703.530029,700.9728094627997
478,1042.599976,1043.7785322989646
1208,1458.660034,1452.3415071885331
785,1084.0,1077.425735631404
1137,1452.540039,1446.229579968809
31,733.789978,732.9872714485703
408,969.0300289999999,968.7931824595287
64,750.23999,752.1263842237323
747,1052.280029,1059.6285305860733
159,765.840027,761.1163429217302
435,955.23999,955.2869253200702
554,1109.900024,1113.5632496538087
1013,1351.910034,1353.241128304807
935,1173.75,1172.5998260848755
500,1011.8699949999999,1016.4664040824753
1089,1207.0,1197.925086558204
298,837.320007,839.5386622453746
1184,1585.150024,1591.8025816863635
438,942.0200199999999,935.9675222267216
1059,1390.469971,1395.5754257794815
311,851.150024,851.3617904693432
1202,1451.089966,1449.945751798012
630,1148.189941,1147.0627839691706
1218,1564.589966,1572.3334362569642
1103,1342.180054,1341.7146560536694
446,929.75,929.3080652844102
270,813.02002,811.84050316648
529,1139.099976,1128.749099651364
915,1218.199951,1219.9919208629058
1132,1464.699951,1464.392965123673
15,778.01001,780.5882810859088
1070,1111.550049,1166.421821863978
1158,1516.849976,1506.915976597297
1011,1360.699951,1357.9311934896502
1049,1510.060059,1520.0177289139228
187,807.98999,807.3560472024568
997,1305.640015,1306.9628191634126
103,729.130005,730.9483661223649
874,1038.73999,1035.5869003809491
60,713.530029,716.8392886288068
740,1071.050049,1066.5345115500113
319,872.3699949999999,870.2274176700117
322,849.7999880000001,852.7317843867675
1229,1598.880005,1589.6050329455056
729,1090.579956,1100.7667510097117
754,1046.579956,1057.944307475891
692,1175.060059,1175.5239491297348
531,1143.5,1138.197028500592
82,759.469971,759.7983987950656
467,1011.0,1012.341751599278
971,1244.410034,1245.8796713554557
758,1073.540039,1078.186671399392
351,948.4500119999999,947.179271443204
489,1048.469971,1048.9884824436012
879,1082.76001,1090.4378779053993
751,1116.359985,1118.2644414889046
113,717.25,721.1607144690577
918,1154.75,1152.7831297028063
249,778.219971,776.4034825966905
762,1035.459961,1049.7410814436068
263,807.799988,808.8012840172928
520,1091.52002,1091.9037757844228
271,825.210022,824.1932595979106
656,1199.099976,1207.4517782550438
1223,1529.949951,1541.6754881784948
122,730.0599980000001,731.21500036141
992,1319.839966,1320.6485991759766
1056,1483.459961,1488.9087320566107
1010,1346.869995,1345.064101426948
737,1049.359985,1049.0294548160884
459,985.1900019999999,982.2371313369039
969,1243.0,1249.1867139466483
